SMILES,num_rings,heavy_atoms,Compound Identification: Reaxys Commercial Substance ID,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight
N1C=CC=C1,1,5,65884.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D65884&database=RC&origin=ReaxysOutput&ln=,(51 of 406),109-97-7,"1H-pyrrole; Pyrrole; Divinylenimine; N-{3-[1-(4-fluoro-2-methylphenyl)-5-methyl-1H-1,2,3-triazol-4-yl]-1,2,4-thiadiazol-5-yl}-4-methylbenzamide; 2,3,3a,4,6,6a-Hexahydro-1H-cyclopenta[c]pyrrol-5-one hydrochloride; N-[5-(4-hydroxybut-1-yn-1-yl)-1,3-thiazol-2-yl]propanamide; POLYPYRROLE (UNDOPED), COMPOSITE WITH C&",C4H5N,C4H5N,67.0904
O1C=CC=C1,1,5,3209854.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D3209854&database=RC&origin=ReaxysOutput&ln=,(92 of 406),110-00-9,furan; Furan (stabilized with BHT); Divinylene Oxide; Oxol; Furan (stabilized with BHT); Furan(stabilized with BHT); Oxacyclopentadiene,C4H4O,C4H4O,68.0752
N1C=CN=C1,1,5,6668.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D6668&database=RC&origin=ReaxysOutput&ln=,(6 of 406),288-32-4,"Imidazole; 1-[1-(3-chloro-2-methylphenyl)-5-(piperidin-4-yl)-1H-pyrazole-4-carbonyl]-4-(2,5-dimethylphenyl)piperazine; 3,6-Diamino-2-(biphenyl-4-carbonyl)-4-(4-hydroxy-phenyl)-thieno[2,3-b]pyridine-5-carbonitrile; N-benzyl-2-[2,4-dioxo-3-(2-phenylethyl)-3,4-dihydroquinazolin-1(2H)-yl]-N-methylacetamide; 6-Amino-2,2-dimethyl-4H-pyrido[3,2-b][1,4]oxazin-3-one; Imidazole, 0.2M buffer soln., pH 6.0, low endotoxin; Imidazole, 0.2M buffer soln., pH 7.0, low endotoxin",C3H4N2,C3H4N2,68.0782
N1C=CC=N1,1,5,140821.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D140821&database=RC&origin=ReaxysOutput&ln=,(81 of 406),288-13-1,"1H-pyrazole; Pyrazole; 2-{[3-(4-chlorophenyl)-4-oxo-3,4,5,6,7,8-hexahydro[1]benzothieno[2,3-d]pyrimidin-2-yl]sulfanyl}-N-(2,3-dihydro-1,4-benzodioxin-6-yl)acetamide; 2-{[3-(2-benzenesulfonamidoethyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]sulfanyl}-N-benzylacetamide; (NE)-4-Chloro-N-[1-[2-(4-nitrophenyl)ethyl]-2-piperidylidene]benzenesulfonamide; (2,2-Difluoro-ethyl)-(1,5-dimethyl-1H-pyrazol-4-ylmethyl)-amine; hydrochloride; 3-methoxy-8-methyl-2-(trifluoromethyl)imidazo[1,2-a]pyridine",C3H4N2,C3H4N2,68.0782
O1C=CN=C1,1,5,129633.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D129633&database=RC&origin=ReaxysOutput&ln=,(68 of 406),288-42-6,"Oxazole; 1,3-oxazole; (5Z)-3-hexyl-5-{[3-(3-methyl-4-propoxyphenyl)-1-phenyl-1H-pyrazol-4-yl]methylidene}-2-sulfanylidene-1,3-thiazolidin-4-one; methyl 3-[2-({[7-(3-furylmethyl)-8-phenyl-5,6,7,8-tetrahydroimidazo[1,2-a]pyrazin-2-yl]carbonyl}amino)ethyl]benzoate; 1,2,5-trimethyl-4-(4-methylpiperidine-1-carbonyl)-N-{4-[(piperidin-1-yl)methyl]phenyl}-1H-pyrrole-3-sulfonamide; N-{[2-(1-azocanylcarbonyl)-6-chloroimidazo[1,2-a]pyridin-3-yl]methyl}-N-methyltetrahydro-3-furanamine; (10-phenyl-6,7,8,9,9a,10,11,12,13,14-decahydro-2H-benzimidazo[2,1-e]acridin-2-ylidene)malononitrile",C3H3NO,C3H3NO,69.0629
O1C=CC=N1,1,5,14484.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D14484&database=RC&origin=ReaxysOutput&ln=,(13 of 406),288-14-2,"Isoxazole; [5-oxo-2-(propan-2-yl)-5H-[1,3,4]thiadiazolo[3,2-a]pyrimidin-7-yl]methyl 2-[(3-methoxyphenyl)formamido]acetate; diethyl({[6-(furan-2-yl)-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-3-yl]methyl})amine; InChI=1/C3H3NO/c1-2-4-5-3-1/h1-3; 1-Oxa-2-azacyclopentadiene; 2,5-Dichlorobenzonitrile; EINECS 206-018-7",C3H3NO,C3H3NO,69.0629
N1C=NC=N1,1,5,14806.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D14806&database=RC&origin=ReaxysOutput&ln=,(17 of 406),288-88-0,"1H-1,2,4-Triazole; 1,2,4-Triazole; Pyrrodiazole; 5-methyl-N-[(4-methyl-1H-benzimidazol-2-yl)methyl]-4,5,6,7-tetrahydro-1H-pyrazolo[4,3-c]pyridine-3-carboxamide; [(3aR,4S,6S,6aR)-4-Formyl-2-oxo-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-6-yl] benzoate; {[6-(1-benzofuran-2-yl)-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-3-yl]methyl}diethylamine; 2-fluoro-N-{2-[4-(2-fluorophenyl)piperazine-1-carbonyl]-1-benzofuran-3-yl}benzamide",C2H3N3,C2H3N3,69.0659
N1C=NN=C1,1,5,1836201.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D1836201&database=RC&origin=ReaxysOutput&ln=,(84 of 406),63598-71-0,"4H-1,2,4-triazole; 2-[5-(3,5-dimethylphenyl)-4,6-dioxo-8-oxa-3,5-diazatricyclo[7.4.0.0?,?]trideca-1(13),2(7),9,11-tetraen-3-yl]-N-(4-methylphenyl)acetamide; 2-(4-chlorophenoxy)-N-{5-[ethyl(phenyl)sulfamoyl]-1,3,4-thiadiazol-2-yl}acetamide; 1H-1,2,4-triazole",C2H3N3,C2H3N3,69.0659
N1C=CN=N1,1,5,7294.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D7294&database=RC&origin=ReaxysOutput&ln=,(7 of 406),288-36-8,"1H-1,2,3-Triazole; 1,2,3-Triazole; 3-[2-(4-methylpiperazin-1-yl)-2-oxoethyl]-5-propyl-3H,4H,5H-pyridazino[4,5-b]indol-4-one; diethyl({[6-(thiophen-2-yl)-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-3-yl]methyl})amine; phenyl 6-methyl-2-(4-methylphenyl)quinoline-4-carboxylate; 2-Fluoro-5-methoxybenzonitrile; Benzophenonehydrazone",C2H3N3,C2H3N3,69.0659
N1N=CC=N1,1,5,9585447.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D9585447&database=RC&origin=ReaxysOutput&ln=,(150 of 406),288-35-7,"2H-1,2,3-Triazole; N-(5-ethyl-1,3,4-thiadiazol-2-yl)-2-({3-[2-(4-methylbenzenesulfonamido)ethyl]-[1,2,4]triazolo[4,3-b]pyridazin-6-yl}sulfanyl)acetamide; 10-acetyl-11-(2-furyl)-3-phenyl-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one; 8-(butylsulfanyl)-1,3-dimethyl-7-(4-methylbenzyl)-3,7-dihydro-1H-purine-2,6-dione; 2-(cyclobutylcarbonyl)-1-(2-pyridinyl)-2,3,4,9-tetrahydro-1H-beta-carboline; InChI=1/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5; 3-(4-Bromobenzoyl)azetidine hydrochloride",C2H3N3,C2H3N3,69.0659
