ID,SMILES,parent_name
1,N1C=CC=C1,1H-pyrrole
2,O1C=CC=C1,furan
3,N1C=CN=C1,Imidazole
4,N1C=CC=N1,1H-pyrazole
5,O1C=CN=C1,Oxazole
6,O1C=CC=N1,Isoxazole
7,N1C=NC=N1,"1H-1,2,4-Triazole"
8,N1C=NN=C1,"4H-1,2,4-triazole"
9,N1C=CN=N1,"1H-1,2,3-Triazole"
10,N1N=CC=N1,"2H-1,2,3-Triazole"
11,O1C=NN=C1,"1,3,4-Oxadiazole"
12,O1N=CC=N1,"1,2,5-oxadiazole"
13,O1C=NC=N1,"1,2,4-oxadiazole"
14,O1C=CN=N1,Oxdiazole
15,N1C=NN=N1,1H-Tetrazole
16,N1N=CN=N1,2H-tetrazole
17,S1C=CC=C1,Thiophene
18,S1C=CN=C1,Thiazole
19,S1C=CC=N1,Isothiazole
20,S1C=NN=C1,"1,3,4-thiadiazole"
21,S1C=NC=N1,"1,2,4-thiadiazole"
22,S1N=CC=N1,"1,2,5-thiadiazole"
23,S1C=CN=N1,"[1,2,3]Thiadiazole"
24,C1=CC=CC=C1,benzene
25,C1=CC=NC=C1,Pyridine
26,C1=CN=NC=C1,Pyridazine
27,C1=CN=CN=C1,Pyrimidine
28,C1=CN=CC=N1,Pyrazine
29,C1=NC=NC=N1,"1,3,5-Triazine"
30,C1=NC=NN=C1,"1,2,4-Triazine"
31,C1=CN=NN=C1,"1,2,3-Triazine"
32,C1=NN=CN=N1,"1,2,4,5-Tetrazine"
33,C1=NN=NN=N1,"1,2,3,4,5-pentazine"
34,N1C=CC2=C1C=CC=C2,Indole
35,N1C=C2C=CC=CC2=C1,2H-Isoindole
36,O1C=CC2=C1C=CC=C2,Benzofuran
37,O1C=C2C=CC=CC2=C1,2-benzofuran
38,N1C=NC2=C1C=CC=C2,Benzimidazole
39,N1N=CC2=C1C=CC=C2,1H-indazole
40,N1C=CC2=C1N=CC=C2,7-Azaindole
41,N1C=CC2=C1C=CC=N2,4-Azaindole
42,N1C=CC2=C1C=CN=C2,5-Azaindole
43,N1C=CC2=C1C=NC=C2,6-Azaindole
44,N1C=C2C=CC=CC2=N1,2H-Indazole
45,N1C=C2C=CC=NC2=C1,"6H-pyrrolo[3,4-b]pyridine"
46,N1C=C2C=CN=CC2=C1,"2H-pyrrolo[3,4-c]pyridine"
47,O1N=CC2=C1C=CC=C2,"1,2-Benzisoxazole"
48,O1C=NC2=C1C=CC=C2,Benzoxazole
49,O1C=CC2=C1C=CC=N2,"Furo[3,2-b]pyridine"
50,O1C=CC2=CC=CN=C12,"furo[2,3-b]pyridine"
51,O1C=C2C=CC=CC2=N1,"2,1-Benzisoxazole"
52,O1C=CC2=C1C=CN=C2,"furo[3,2-c]pyridine"
53,O1C=CC2=CC=NC=C12,"Furo[2,3-c]pyridine"
54,O1C=C2C=CN=CC2=C1,"furo[3,4-c]pyridine"
55,O1C=C2C=CC=NC2=C1,"furo[3,4-b]pyridine"
56,N1N=NC2=C1C=CC=C2,1H-Benzotriazole
57,N1C=NC2=C1N=CC=C2,"3H-Imidazo[4,5-b]pyridine"
58,N1C=NC2=C1C=NC=C2,"3H-Imidazo[4,5-c]pyridine"
59,N1C=NC2=C1C=CN=C2,"1H-imidazo[4,5-c]pyridine"
60,N1C=NC2=C1C=CC=N2,"1H-imidazo[4,5-b]pyridine"
61,N1C=C2C=NC=CC2=N1,"2H-Pyrazolo[4,3-c]pyridine"
62,N1N=CC2=C1C=CN=C2,"1H-Pyrazolo[4,3-c]pyridine"
63,N1N=CC2=NC=CC=C12,"1H-pyrazolo[4,3-b]pyridine"
64,N1N=CC2=CC=CN=C12,"1H-Pyrazolo[3,4-b]pyridine"
65,N1N=CC2=C1C=NC=C2,"1H-Pyrazolo[3,4-c]pyridine"
66,N1C=C2N=CC=CC2=N1,"2H-pyrazolo[4,3-b]pyridine"
67,N1N=C2C=CC=CC2=N1,1H-Benzotriazole
68,N1C=C2C=NC=NC2=C1,"6H-Pyrrolo[3,4-d]pyrimidine"
69,N1C=C2N=CC=NC2=C1,"6H-pyrrolo[3,4-b]pyrazine"
70,N1C=C2C=NN=CC2=C1,"6H-pyrrolo[3,4-d]pyridazine"
71,N1C=CC2=CN=CN=C12,"7H-Pyrrolo[2,3-d]pyrimidine"
72,N1C=CC2=C1C=NC=N2,"5H-Pyrrolo[3,2-d]pyrimidine"
73,N1C=CC2=C1N=NC=C2,"7H-Pyrrolo[2,3-c]pyridazine"
74,N1C=C2C=CN=CC2=N1,"2H-Pyrazolo[3,4-c]pyridine"
75,N1C=CC2=NC=CN=C12,"5H-pyrrolo[2,3-b]pyrazine"
76,N1C=CC2=C1C=CN=N2,"5H-pyrrolo[3,2-c]pyridazine"
77,N1C=CC2=C1C=NN=C2,"1H-pyrrolo[2,3-d]pyridazine"
78,N1C=C2C=CC=NC2=N1,"1H-Pyrazolo[3,4-b]pyridine"
79,O1N=NC2=CC=CC=C12,"1,2,3-benzoxadiazole"
80,O1N=C2C=CC=CC2=N1,Benzofurazan
81,O1C=NC2=NC=CC=C12,"Oxazolo[4,5-b]pyridine"
